TAS1;TAS2;TAS3;TAS4;TAS5;TAS6;TAS7;TAS8;TAS9;TAS10;TAS11;TAS12;TAS13;TAS14;TAS15;TAS16;TAS17;TAS18;TAS19;TAS20;f1;f2;f3;total;sim_A;sim_B
1;1;1;5;1;1;1;3;2;2;2;3;2;4;3;2;1;4;3;4;12;12;22;46;5.5;4.2
5;5;1;5;5;5;1;1;5;1;5;1;5;5;5;5;1;1;1;1;27;17;20;64;13;10.2
4;4;3;3;5;3;1;4;2;2;2;2;1;1;1;1;2;2;5;1;15;13;21;49;7;5.4
3;4;2;3;1;4;4;2;5;2;3;2;2;1;3;1;4;1;1;2;21;16;13;50;10;7.8
3;3;1;3;1;3;4;3;5;2;3;3;2;2;2;3;2;1;1;4;20;14;17;51;9.5;7.4
4;4;1;4;2;2;2;4;4;3;4;3;3;2;2;3;2;2;3;2;18;17;21;56;8.5;6.6
5;5;3;4;2;2;3;2;2;3;2;4;2;2;2;3;2;1;1;1;19;17;15;51;9;7
4;4;3;4;2;2;3;3;2;2;2;4;2;2;2;4;3;2;2;4;18;17;21;56;8.5;6.6
1;2;1;5;2;1;1;2;3;2;1;2;3;2;2;2;2;4;4;2;12;12;20;44;5.5;4.2
2;2;4;2;1;1;5;1;1;1;2;5;1;3;1;1;5;1;1;1;17;16;8;41;8;6.2
4;4;3;3;1;5;5;3;5;1;3;4;3;4;1;1;1;1;1;1;29;15;10;54;14;11
1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;7;6;8;21;3;2.2
3;3;4;4;3;2;2;3;3;3;4;5;2;3;4;3;4;2;3;3;19;20;24;63;9;7
5;5;1;5;2;5;2;3;3;1;4;5;1;1;4;3;5;1;3;3;18;24;20;62;8.5;6.6
4;4;2;3;2;4;2;2;3;1;5;4;3;4;3;2;3;2;2;2;22;19;16;57;10.5;8.2
4;3;1;3;2;2;3;3;4;3;5;4;3;4;3;3;2;2;3;3;21;17;22;60;10;7.8
4;4;3;2;3;4;5;3;4;1;4;5;4;4;3;3;4;1;1;1;28;19;16;63;13.5;10.6
2;1;3;1;3;4;4;4;4;2;4;2;3;4;4;1;5;3;3;1;24;13;21;58;11.5;9
2;4;2;4;2;3;2;4;3;2;4;3;2;2;3;1;4;1;2;2;16;19;17;52;7.5;5.8
2;2;3;4;3;3;3;2;4;2;3;2;2;2;2;1;4;2;2;1;19;15;15;49;9;7
3;3;1;4;3;2;1;3;3;2;2;3;1;1;3;3;1;2;3;2;12;13;21;46;5.5;4.2
4;4;2;3;3;2;3;3;3;2;3;3;2;2;2;3;3;1;3;3;18;16;20;54;8.5;6.6
4;3;1;2;1;1;5;1;5;1;2;3;2;1;2;2;3;2;1;2;19;13;12;44;9;7
4;4;5;1;4;5;4;2;3;1;5;2;5;5;5;5;5;4;1;3;31;17;25;73;15;11.8
2;1;4;2;2;2;3;2;2;1;2;2;1;2;1;5;1;2;2;3;16;8;18;42;7.5;5.8
4;5;3;5;2;1;5;2;4;2;4;4;2;2;4;3;4;4;3;2;21;22;22;65;10;7.8
4;5;2;4;1;1;1;5;3;3;5;2;1;5;4;2;3;4;2;3;17;19;24;60;8;6.2
2;3;1;2;2;5;1;5;4;1;3;4;3;1;5;3;1;1;1;3;17;13;21;51;8;6.2
3;4;1;4;3;4;1;5;4;3;3;3;1;4;2;4;4;2;4;3;18;18;26;62;8.5;6.6
2;2;1;2;2;1;3;3;3;1;4;3;1;2;2;4;1;1;1;3;13;12;17;42;6;4.6
2;2;1;2;2;2;4;4;2;2;1;2;2;1;1;4;1;2;5;2;14;8;22;44;6.5;5
1;2;3;2;1;4;3;2;1;4;4;5;2;3;2;3;4;1;2;2;17;17;17;51;8;6.2
4;4;3;4;3;4;3;2;4;1;4;5;2;1;1;5;4;2;2;3;21;21;19;61;10;7.8
4;2;2;1;2;4;4;2;2;4;4;2;3;2;1;1;1;1;1;1;21;10;13;44;10;7.8
5;5;3;5;2;2;4;2;5;2;3;5;4;4;1;2;5;1;2;2;27;23;14;64;13;10.2
4;5;1;5;4;1;3;2;3;2;1;5;5;2;3;1;5;3;2;3;19;21;20;60;9;7
2;1;3;1;3;1;4;2;1;3;1;4;1;4;4;4;3;2;2;3;16;10;23;49;7.5;5.8
2;1;1;2;2;1;1;2;1;1;2;1;1;1;3;3;1;3;3;3;8;7;20;35;3.5;2.6
1;4;1;5;5;3;5;1;1;1;3;1;1;1;1;2;1;4;1;1;13;14;16;43;6;4.6
2;2;3;4;3;2;4;2;2;1;5;4;4;2;4;5;5;2;2;4;19;20;23;62;9;7
1;2;1;2;2;2;3;2;1;1;4;1;1;1;2;4;2;2;4;1;10;11;18;39;4.5;3.4
2;3;1;2;1;3;1;1;2;1;2;2;1;2;3;2;4;1;2;3;12;13;14;39;5.5;4.2
4;2;1;1;1;1;4;1;2;3;1;1;3;2;1;3;1;4;1;1;17;6;15;38;8;6.2
4;2;1;4;3;4;4;2;3;1;4;2;2;4;1;1;1;2;2;1;22;13;13;48;10.5;8.2
3;5;4;5;2;4;3;3;4;2;4;5;4;3;4;4;5;1;3;3;25;24;22;71;12;9.4
2;4;5;4;3;2;5;3;2;3;3;5;1;2;2;2;3;2;3;2;19;19;20;58;9;7
4;2;1;2;3;2;4;4;4;2;2;2;3;2;2;2;2;2;2;4;20;10;21;51;9.5;7.4
1;1;3;2;1;3;4;1;3;1;3;5;2;4;1;1;5;1;1;1;20;16;8;44;9.5;7.4
2;4;1;3;2;3;2;1;4;1;3;3;2;3;1;3;5;1;1;3;17;18;13;48;8;6.2
2;2;1;4;4;2;1;4;2;4;1;1;3;2;2;2;2;2;4;5;13;10;27;50;6;4.6
5;4;5;5;1;5;4;5;3;4;4;4;1;4;5;2;4;2;1;2;27;21;22;70;13;10.2
4;4;2;4;2;3;4;4;4;3;4;2;4;4;4;2;5;2;4;2;25;19;23;67;12;9.4
1;1;1;2;2;1;1;1;2;2;4;1;1;1;1;1;4;2;5;1;8;12;15;35;3.5;2.6
5;5;5;4;5;1;1;5;4;1;5;4;1;1;3;1;2;3;3;3;18;20;24;62;8.5;6.6
3;2;3;3;1;2;3;1;4;1;3;3;4;3;2;2;2;1;3;4;22;13;15;50;10.5;8.2
3;2;1;3;1;5;1;1;1;2;3;1;3;1;1;1;1;1;1;3;15;10;11;36;7;5.4
3;2;4;2;2;2;2;2;2;2;3;4;4;2;3;3;3;2;2;1;19;14;17;50;9;7
4;1;1;5;3;2;4;2;1;3;4;2;5;2;4;2;1;3;2;2;19;13;21;53;9;7
2;2;3;2;2;2;3;1;2;2;2;4;3;2;3;4;2;3;2;3;17;12;20;49;8;6.2
4;3;1;3;2;1;1;2;3;3;3;3;1;1;3;3;5;2;5;3;12;17;23;52;5.5;4.2
1;1;1;1;3;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;7;5;14;26;3;2.2
3;3;1;3;3;3;3;1;3;3;2;1;2;2;2;2;2;4;4;2;17;11;21;49;8;6.2
5;5;3;5;1;3;2;1;3;1;3;4;3;4;4;2;4;1;1;2;23;21;13;57;11;8.6
5;5;4;5;5;5;5;1;5;1;4;5;4;1;5;1;5;1;3;1;29;24;18;71;14;11
1;2;1;2;3;1;1;3;4;1;1;1;1;2;4;2;1;4;2;5;11;7;24;42;5;3.8
4;5;3;5;3;4;2;4;4;3;3;5;4;4;3;1;2;2;3;4;25;20;23;68;12;9.4
3;2;1;4;2;1;1;5;4;2;4;2;1;1;4;4;1;2;4;2;12;13;25;50;5.5;4.2
5;4;3;4;3;1;1;1;3;2;2;4;5;2;1;2;2;4;5;2;20;16;20;56;9.5;7.4
4;4;1;4;2;3;1;1;3;3;4;4;3;2;1;4;5;1;3;1;17;21;16;54;8;6.2
4;3;2;4;1;5;4;3;2;2;2;2;2;1;2;2;2;3;2;4;20;13;19;52;9.5;7.4
4;4;3;4;5;2;2;2;3;3;2;3;3;2;2;2;2;2;3;3;19;15;22;56;9;7
4;4;1;2;1;1;1;1;1;1;4;3;1;4;4;4;3;1;2;1;13;16;15;44;6;4.6
3;2;1;4;3;1;1;2;3;2;4;2;2;2;2;1;2;2;4;5;13;14;21;48;6;4.6
1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;8;5;9;22;3.5;2.6
4;2;1;3;2;4;5;2;5;1;2;3;5;5;1;3;1;2;1;3;29;11;15;55;14;11
2;2;3;2;1;1;1;1;2;1;4;3;2;1;2;3;5;1;1;3;12;16;13;41;5.5;4.2
1;1;2;4;2;4;4;1;2;1;3;4;3;2;3;4;1;1;1;2;18;13;15;46;8.5;6.6
4;4;3;4;4;4;1;3;2;4;2;1;2;2;3;4;1;4;3;4;18;12;29;59;8.5;6.6
5;4;1;5;2;3;4;1;4;2;4;3;5;2;3;1;5;1;5;2;24;21;17;62;11.5;9
3;2;2;4;2;3;4;2;4;2;3;2;2;2;2;3;2;2;2;2;20;13;17;50;9.5;7.4
5;5;4;5;3;4;5;1;4;1;2;3;4;2;1;1;3;3;2;2;28;18;14;60;13.5;10.6
4;4;3;5;3;5;5;3;3;3;3;4;4;4;4;2;4;4;2;3;28;20;24;72;13.5;10.6
2;4;1;3;2;2;3;1;1;2;4;2;1;1;4;2;4;1;2;2;11;17;16;44;5;3.8
2;4;1;3;2;3;1;2;3;3;3;4;2;1;2;3;3;1;3;3;13;17;19;49;6;4.6
3;2;3;2;3;2;2;3;2;2;3;2;4;2;2;2;1;1;2;4;18;10;19;47;8.5;6.6
4;4;1;4;3;1;1;1;4;1;1;2;4;1;5;5;1;1;1;5;16;12;22;50;7.5;5.8
4;2;3;3;2;1;3;1;3;1;4;1;3;1;1;2;2;3;1;1;18;12;12;42;8.5;6.6
2;3;1;4;4;3;3;2;2;1;2;4;1;1;2;3;1;1;1;1;13;14;15;42;6;4.6
4;4;3;3;1;4;4;2;4;3;4;4;4;3;2;2;4;2;2;1;26;19;15;60;12.5;9.8
2;5;1;5;4;2;3;4;4;2;2;2;1;2;2;4;1;1;3;2;15;15;22;52;7;5.4
1;1;1;1;1;1;4;2;2;1;2;2;2;1;4;3;1;2;1;3;12;7;17;36;5.5;4.2
1;4;3;4;2;1;2;1;1;3;4;3;1;1;3;1;5;2;2;2;10;20;16;46;4.5;3.4
4;5;1;3;2;5;1;1;4;1;5;1;3;5;1;1;2;1;1;1;23;16;9;48;11;8.6
2;3;1;3;2;1;2;2;2;1;2;5;1;1;1;2;3;1;2;1;10;16;12;38;4.5;3.4
1;4;1;3;2;1;3;1;2;1;2;1;1;1;4;5;4;1;2;5;10;14;21;45;4.5;3.4
4;4;3;1;1;2;5;1;2;1;4;2;4;2;1;1;1;1;1;1;22;12;8;42;10.5;8.2
3;4;2;4;2;3;3;4;2;3;4;3;3;2;2;3;4;2;2;3;18;19;21;58;8.5;6.6
2;4;2;3;1;1;1;1;2;1;2;2;1;4;3;2;2;2;1;1;13;13;12;38;6;4.6
4;4;4;5;3;4;5;1;2;1;5;5;2;4;4;3;4;1;2;2;25;23;17;65;12;9.4
3;5;1;3;2;1;1;2;2;1;4;3;3;1;3;4;4;2;4;3;12;19;21;52;5.5;4.2
2;3;4;4;4;1;1;1;1;3;1;1;1;1;1;1;1;1;2;1;11;10;14;35;5;3.8
3;5;1;3;4;4;2;5;3;1;1;2;1;1;1;5;1;4;2;3;15;12;25;52;7;5.4
4;5;3;5;3;3;3;4;5;2;3;4;4;5;4;2;5;2;4;3;27;22;24;73;13;10.2
4;4;1;3;2;3;2;2;3;2;2;3;2;2;3;3;3;2;2;2;17;15;18;50;8;6.2
3;4;1;5;4;3;5;4;3;3;3;3;4;2;3;3;3;4;2;3;21;18;26;65;10;7.8
1;4;5;4;1;4;1;1;4;1;4;5;2;2;4;4;5;1;2;1;19;22;15;56;9;7
5;5;3;4;1;5;1;5;4;2;4;1;5;5;5;5;5;3;3;3;28;19;27;74;13.5;10.6
3;3;3;3;4;4;4;4;4;1;2;3;3;3;4;4;2;3;1;2;24;13;23;60;11.5;9
4;5;1;2;2;3;2;4;4;1;3;4;4;2;4;5;5;4;2;2;20;19;24;63;9.5;7.4
5;5;4;4;3;2;4;2;3;3;3;4;3;2;3;2;4;2;2;2;23;20;19;62;11;8.6
4;5;1;2;2;4;2;4;4;2;2;4;2;4;2;4;2;3;2;2;21;15;21;57;10;7.8
2;4;1;3;3;3;4;3;2;1;2;1;1;3;4;3;3;2;5;3;16;13;24;53;7.5;5.8
3;4;1;4;3;3;1;2;2;2;4;5;2;1;4;4;5;4;3;2;13;22;24;59;6;4.6
2;3;1;3;2;1;1;3;3;2;2;5;3;1;1;2;4;1;2;1;12;17;14;43;5.5;4.2
5;5;1;5;1;1;1;1;5;5;5;1;5;5;1;1;1;1;1;3;23;17;14;54;11;8.6
5;4;2;4;2;1;1;1;4;3;2;2;2;2;2;4;4;2;2;2;17;16;18;51;8;6.2
2;1;1;1;2;3;4;1;4;1;3;4;1;1;3;1;3;2;1;5;16;12;16;44;7.5;5.8
1;2;1;2;2;1;1;2;2;2;3;3;3;1;1;3;2;2;2;1;10;12;15;37;4.5;3.4
2;2;1;2;1;2;2;3;3;2;2;4;1;3;2;2;2;1;1;1;14;12;13;39;6.5;5
2;2;1;2;2;2;3;2;2;2;2;2;2;2;2;2;2;3;1;2;14;10;16;40;6.5;5
4;4;1;4;4;1;1;2;4;1;4;3;4;5;3;2;5;1;1;3;20;20;17;57;9.5;7.4
1;2;1;4;1;1;1;1;1;1;1;5;1;1;1;1;5;1;1;1;7;17;8;32;3;2.2
2;3;1;4;3;3;3;2;2;2;3;2;1;3;2;4;3;2;3;4;15;15;22;52;7;5.4
4;4;3;2;2;3;3;2;4;1;2;5;2;2;2;2;5;1;2;1;21;18;13;52;10;7.8
4;4;3;4;2;3;5;1;5;1;3;4;5;4;3;3;5;1;2;1;29;20;14;63;14;11
4;5;1;4;2;3;2;2;2;1;4;3;3;4;5;3;5;2;2;2;19;21;19;59;9;7
3;4;3;3;1;3;5;5;3;1;2;3;3;3;5;5;4;3;3;2;23;16;25;64;11;8.6
4;5;1;1;1;4;4;2;5;4;4;5;4;4;4;1;5;2;2;3;26;20;19;65;12.5;9.8
4;4;3;4;2;1;1;1;5;1;4;5;2;1;1;3;4;1;1;2;17;21;12;50;8;6.2
1;1;2;1;3;1;3;1;2;1;1;1;1;1;1;1;1;1;1;1;11;5;10;26;5;3.8
5;5;5;5;1;5;5;1;5;4;5;5;5;5;1;1;1;1;1;1;35;21;11;67;17;13.4
4;2;1;2;1;5;3;1;1;1;4;3;5;1;2;3;5;2;1;1;20;16;12;48;9.5;7.4
4;4;3;2;2;4;3;4;4;3;3;4;4;4;2;1;3;2;3;2;26;16;19;61;12.5;9.8
4;4;3;3;2;3;3;2;3;2;4;3;3;2;3;3;3;2;3;3;21;17;20;58;10;7.8
2;2;4;2;2;2;4;2;2;1;4;1;1;2;2;2;1;1;2;2;17;10;14;41;8;6.2
3;4;1;4;1;4;3;3;3;2;3;4;2;2;3;3;2;3;2;2;18;17;19;54;8.5;6.6
3;2;1;5;1;1;5;1;3;1;1;5;1;1;5;4;5;2;1;1;15;18;16;49;7;5.4
2;2;1;2;3;2;3;4;1;2;2;3;2;1;4;5;2;2;3;3;12;11;26;49;5.5;4.2
2;4;2;4;2;1;2;3;2;2;2;3;2;1;4;2;4;1;2;3;12;17;19;48;5.5;4.2
1;5;1;5;5;1;2;5;1;2;4;1;1;1;1;2;4;3;1;1;8;19;20;47;3.5;2.6
3;2;1;3;2;2;2;3;3;2;2;2;1;1;3;3;2;2;3;2;13;11;20;44;6;4.6
4;3;1;5;3;3;1;3;3;2;2;4;5;4;2;1;3;2;3;3;21;17;19;57;10;7.8
2;2;1;2;4;2;3;2;2;2;3;2;1;1;4;2;4;3;2;5;12;13;24;49;5.5;4.2
3;3;1;3;1;5;5;1;3;4;4;5;2;2;5;4;5;4;5;5;21;20;29;70;10;7.8
2;1;1;2;3;2;2;2;2;2;3;2;2;2;4;4;2;2;3;3;13;10;23;46;6;4.6
3;4;1;4;1;5;2;1;1;2;2;4;1;1;4;3;5;1;2;2;14;19;16;49;6.5;5
5;5;4;5;3;3;3;1;3;2;4;5;3;5;3;5;5;1;1;1;26;24;17;67;12.5;9.8
4;4;3;3;2;3;3;4;5;2;3;4;3;2;3;3;4;2;3;2;23;18;21;62;11;8.6
4;5;3;5;1;5;4;2;3;1;2;5;2;1;1;2;4;1;1;1;22;21;10;53;10.5;8.2
5;5;2;4;1;5;3;1;1;1;4;1;4;2;1;1;5;1;1;4;22;19;11;52;10.5;8.2
2;4;1;4;3;4;2;1;4;2;2;2;3;4;3;4;1;2;2;2;20;13;19;52;9.5;7.4
1;1;1;1;2;2;2;1;4;1;2;1;1;1;2;3;1;2;4;3;12;6;18;36;5.5;4.2
2;2;2;3;3;1;2;2;3;2;3;1;1;1;1;3;1;1;4;2;12;10;18;40;5.5;4.2
2;2;4;5;3;2;1;4;2;3;2;4;2;2;4;4;4;2;3;2;15;17;25;57;7;5.4
2;3;4;2;1;3;4;1;4;3;4;2;1;1;2;2;4;2;2;4;19;15;17;51;9;7
4;2;1;2;3;4;2;4;2;1;2;4;2;3;2;2;2;2;1;2;18;12;17;47;8.5;6.6
1;1;4;4;3;4;4;2;3;2;1;3;1;1;4;2;4;2;1;2;18;13;18;49;8.5;6.6
4;4;3;4;3;4;4;3;2;2;3;3;2;2;4;4;2;2;3;2;21;16;23;60;10;7.8
3;4;1;3;1;1;1;3;3;2;2;1;4;3;5;3;4;4;3;2;16;14;23;53;7.5;5.8
1;2;5;3;5;4;3;4;3;2;2;4;2;3;3;4;3;1;1;3;21;14;23;58;10;7.8
4;4;1;5;3;4;1;3;2;3;3;4;2;2;2;5;2;4;3;4;16;18;27;61;7.5;5.8
2;1;3;5;4;2;5;1;3;2;1;2;3;4;1;2;2;1;1;4;22;11;16;49;10.5;8.2
2;2;2;2;1;1;2;1;2;1;1;1;1;1;2;3;1;1;1;2;11;7;12;30;5;3.8
2;4;1;4;2;1;1;1;2;2;4;4;2;1;4;5;2;1;2;1;10;18;18;46;4.5;3.4
1;2;1;2;2;2;2;2;2;1;2;1;1;1;2;2;1;2;2;2;10;8;15;33;4.5;3.4
1;1;4;3;3;4;3;2;1;3;3;2;2;1;3;3;5;2;3;2;16;14;21;51;7.5;5.8
2;3;1;3;1;1;1;1;1;2;2;4;1;1;2;2;5;2;2;1;8;17;13;38;3.5;2.6
4;4;3;4;1;1;5;2;4;2;5;4;3;1;4;2;4;1;1;4;21;21;17;59;10;7.8
2;2;3;2;4;2;4;3;2;2;2;2;2;1;3;4;2;2;2;2;16;10;22;48;7.5;5.8
4;3;2;2;1;2;2;2;3;1;2;2;3;4;5;2;5;1;1;2;20;14;15;49;9.5;7.4
2;5;1;5;1;4;1;2;4;1;4;2;2;2;1;5;5;1;1;5;16;21;17;54;7.5;5.8
4;4;1;4;3;2;3;4;4;4;4;4;3;2;4;3;5;1;3;1;19;21;23;63;9;7
5;5;3;5;1;4;4;1;4;2;4;3;4;2;4;2;2;1;1;1;26;19;13;58;12.5;9.8
4;4;1;4;1;4;3;1;4;1;4;2;4;2;2;2;4;1;1;2;22;18;11;51;10.5;8.2
2;4;1;3;2;1;3;2;1;1;4;5;1;1;4;2;5;1;1;1;10;21;14;45;4.5;3.4
2;4;1;4;4;2;4;4;4;4;4;4;2;2;4;5;1;1;2;1;17;17;25;59;8;6.2
4;2;1;2;1;4;3;2;2;2;2;3;2;2;2;1;1;2;1;1;18;10;12;40;8.5;6.6
4;5;3;1;1;2;2;2;5;1;5;5;4;5;1;4;5;1;1;2;25;21;13;59;12;9.4
2;4;3;4;2;2;4;2;2;1;4;3;2;4;4;2;4;1;2;1;19;19;15;53;9;7
2;3;2;3;1;3;5;1;2;2;1;3;2;3;2;3;2;1;1;3;19;12;14;45;9;7
4;2;1;2;2;2;2;2;3;2;2;2;2;1;3;3;2;2;1;1;15;10;16;41;7;5.4
4;4;3;5;2;3;3;2;4;2;4;3;3;2;4;3;5;1;2;4;22;21;20;63;10.5;8.2
1;1;1;1;1;1;1;1;2;2;2;2;1;2;4;3;1;2;4;1;9;7;18;34;4;3
4;4;3;4;2;4;4;2;4;2;4;4;4;4;2;4;1;1;2;2;27;17;17;61;13;10.2
4;3;3;4;2;4;3;1;3;1;2;3;2;2;2;2;3;2;1;3;21;15;14;50;10;7.8
1;4;5;3;3;2;3;3;2;3;5;1;4;2;5;5;5;4;2;4;19;18;29;66;9;7
4;2;4;4;1;1;1;3;3;1;2;1;1;1;3;3;5;2;1;2;15;14;16;45;7;5.4
2;4;3;4;3;4;4;2;3;2;2;3;4;2;4;3;2;2;3;4;22;15;23;60;10.5;8.2
5;5;1;1;3;5;2;2;5;2;5;2;4;5;1;1;1;1;1;3;27;14;14;55;13;10.2
3;2;1;4;2;3;1;3;3;1;3;2;2;1;2;1;4;1;2;5;14;15;17;46;6.5;5
4;4;2;4;4;2;4;2;4;4;2;4;5;2;4;2;4;1;2;2;23;18;21;62;11;8.6
1;2;2;1;1;4;4;3;1;1;1;3;1;1;3;4;4;5;1;4;14;11;22;47;6.5;5
1;3;1;5;5;1;1;5;3;3;5;5;1;1;5;5;5;3;5;5;9;23;36;68;4;3
2;3;1;2;2;2;2;4;2;2;2;4;2;2;4;3;2;2;2;3;13;13;22;48;6;4.6
5;5;5;4;3;1;4;2;4;1;5;4;2;2;3;1;5;1;2;3;23;23;16;62;11;8.6
2;2;1;2;2;3;4;2;3;2;1;1;1;1;3;2;4;2;2;2;15;10;17;42;7;5.4
2;4;3;4;2;3;4;2;4;2;2;4;2;2;4;2;4;1;1;2;20;18;16;54;9.5;7.4
3;3;1;3;1;3;3;3;3;1;1;4;3;1;4;5;3;5;1;3;17;14;23;54;8;6.2
2;2;3;2;1;3;4;1;3;1;3;4;2;2;2;2;4;2;5;2;19;15;16;50;9;7
5;4;1;4;2;4;4;2;4;1;3;5;4;3;4;3;5;1;2;1;25;21;16;62;12;9.4
2;3;3;2;3;2;3;2;3;3;4;4;1;2;3;3;2;4;4;4;16;15;26;57;7.5;5.8
2;4;5;4;1;5;5;1;5;2;1;2;4;1;4;1;5;1;3;4;27;16;17;60;13;10.2
4;4;4;4;3;4;3;4;4;3;4;2;4;1;5;5;4;1;4;5;24;18;30;72;11.5;9
2;2;1;4;4;4;2;1;2;2;4;3;3;4;2;2;5;4;3;3;18;18;21;57;8.5;6.6
2;2;5;2;1;2;4;1;2;1;1;3;1;1;4;1;1;1;1;4;17;9;14;40;8;6.2
3;5;4;5;1;4;2;2;4;1;4;5;3;2;3;2;5;1;1;1;22;24;12;58;10.5;8.2
1;1;1;1;4;1;5;1;1;1;5;3;1;1;3;1;5;5;1;1;11;15;17;43;5;3.8
2;1;1;1;4;1;2;5;1;2;1;1;1;1;2;4;1;1;4;2;9;5;24;38;4;3
4;4;2;5;1;4;4;3;4;1;3;4;4;4;4;4;4;2;3;4;26;20;22;68;12.5;9.8
2;4;2;4;4;2;4;3;4;1;4;4;4;1;4;5;5;5;3;5;19;21;30;70;9;7
4;2;1;2;2;3;3;1;4;3;4;3;3;3;2;2;2;1;2;1;21;13;14;48;10;7.8
5;5;2;5;1;4;4;1;4;2;2;1;4;3;2;2;2;2;2;2;26;15;14;55;12.5;9.8
5;2;1;2;2;2;3;4;3;2;1;1;3;4;2;3;1;2;1;4;21;7;20;48;10;7.8
4;4;3;5;2;3;4;4;4;3;4;5;4;3;4;2;4;3;3;3;25;22;24;71;12;9.4
4;4;2;5;3;4;1;1;2;1;4;5;3;2;1;3;4;3;2;3;18;22;17;57;8.5;6.6
4;2;4;3;2;4;3;2;2;2;2;1;3;2;2;5;1;1;4;3;22;9;21;52;10.5;8.2
1;1;3;1;2;3;2;4;1;2;3;3;1;1;1;1;1;5;5;1;12;9;21;42;5.5;4.2
4;5;4;5;1;3;3;5;5;2;5;1;5;2;2;3;5;1;1;2;26;21;17;64;12.5;9.8
4;3;1;3;1;1;1;1;1;3;3;4;1;1;3;2;4;2;2;2;10;17;16;43;4.5;3.4
4;4;4;3;2;5;4;4;3;2;3;3;4;4;3;3;4;2;2;3;28;17;21;66;13.5;10.6
3;2;2;1;3;2;4;2;2;3;4;2;5;4;2;1;2;1;2;1;22;11;15;48;10.5;8.2
5;5;1;5;3;4;2;2;4;3;3;1;2;2;5;1;5;1;3;1;20;19;19;58;9.5;7.4
3;1;4;3;1;2;5;1;2;1;4;4;1;2;1;1;2;1;1;2;19;14;9;42;9;7
4;4;2;4;3;4;2;3;4;2;4;4;4;3;3;2;4;2;2;2;23;20;19;62;11;8.6
4;4;3;4;5;3;3;1;4;4;4;5;5;2;5;5;5;2;1;4;24;22;27;73;11.5;9
4;4;2;2;2;2;2;2;2;1;4;2;4;2;2;2;2;2;2;2;18;14;15;47;8.5;6.6
4;2;1;2;3;1;4;2;3;1;2;1;1;2;3;2;5;2;1;5;16;12;19;47;7.5;5.8
3;5;2;4;1;3;3;1;2;1;4;4;2;1;3;3;2;1;1;4;16;19;15;50;7.5;5.8
2;4;3;2;2;1;4;2;2;1;3;2;3;5;2;3;5;5;2;2;20;16;19;55;9.5;7.4
3;3;3;3;5;1;3;4;3;2;1;1;3;3;2;4;2;5;4;3;19;10;29;58;9;7
1;3;1;3;1;5;4;1;4;1;4;4;3;2;4;3;3;2;2;1;20;17;15;52;9.5;7.4
3;3;4;3;2;3;4;3;3;2;3;2;2;2;4;5;3;1;3;5;21;14;25;60;10;7.8
2;4;3;2;1;3;2;1;2;2;2;1;1;2;1;2;2;4;2;3;15;11;16;42;7;5.4
5;5;1;5;2;4;1;4;4;3;4;5;4;3;1;5;5;1;1;4;22;24;21;67;10.5;8.2
2;2;3;3;2;2;3;3;2;3;4;2;3;3;4;2;3;1;1;1;18;14;17;49;8.5;6.6
2;4;3;4;1;1;2;3;4;1;4;4;2;3;3;2;1;1;3;3;17;17;17;51;8;6.2
4;4;1;4;3;1;2;3;4;3;2;2;3;2;4;1;2;1;4;3;17;14;22;53;8;6.2
4;3;1;3;2;2;3;4;4;3;2;2;3;3;3;3;2;2;2;2;20;12;21;53;9.5;7.4
2;4;1;4;3;2;2;3;2;4;4;4;2;3;4;4;4;1;3;1;14;20;23;57;6.5;5
2;1;3;1;1;3;4;1;2;2;2;3;2;1;2;1;3;2;1;2;17;10;12;39;8;6.2
3;4;1;4;3;3;2;2;3;3;3;2;2;2;4;5;4;4;3;2;16;17;26;59;7.5;5.8
4;2;1;3;3;1;2;3;4;2;3;2;5;1;3;3;5;1;1;1;18;15;17;50;8.5;6.6
3;4;1;2;2;2;4;2;2;1;2;1;1;4;4;5;1;1;2;3;17;10;20;47;8;6.2
2;3;2;3;2;5;2;1;1;1;3;1;1;4;2;3;2;1;2;1;17;12;13;42;8;6.2
1;1;2;2;2;2;1;1;1;1;5;5;1;1;2;5;5;1;5;4;9;18;21;48;4;3
3;3;1;4;4;3;1;5;5;3;1;1;3;3;5;2;5;1;3;3;19;14;26;59;9;7
4;4;1;3;2;1;1;2;4;1;1;3;1;2;4;2;2;1;2;2;14;13;16;43;6.5;5
4;5;1;4;4;1;1;3;4;3;4;5;2;3;4;5;4;2;3;3;16;22;27;65;7.5;5.8
4;2;1;2;1;1;3;2;2;1;2;3;1;2;2;1;2;2;2;1;14;11;12;37;6.5;5
4;4;1;2;2;3;2;3;3;1;4;1;3;3;3;2;4;1;3;2;19;15;17;51;9;7
4;5;3;5;2;5;5;3;3;1;4;5;3;5;4;1;3;2;2;1;28;22;16;66;13.5;10.6
2;5;2;5;1;4;3;1;1;2;2;5;3;2;2;2;4;2;2;2;17;21;14;52;8;6.2
2;1;1;2;2;3;3;1;2;1;2;1;1;1;4;4;1;1;1;2;13;7;16;36;6;4.6
2;3;1;2;2;2;2;4;3;4;2;2;2;2;3;4;5;2;2;4;14;14;25;53;6.5;5
