TAS1;TAS2;TAS3;TAS4;TAS5;TAS6;TAS7;TAS8;TAS9;TAS10;TAS11;TAS12;TAS13;TAS14;TAS15;TAS16;TAS17;TAS18;TAS19;TAS20;f1;f2;f3;total;sim_A;sim_B
4;4;3;4;3;5;3;3;4;2;3;3;4;4;3;2;2;3;2;3;27;16;21;64;14;10
2;2;3;2;3;3;3;4;3;2;3;2;2;3;2;3;2;2;3;2;19;11;21;51;10;7.2
3;2;2;2;1;3;1;1;2;3;2;2;1;1;3;3;2;1;1;3;13;10;16;39;7;5.1
4;4;3;4;2;4;3;3;3;2;4;3;3;2;3;2;4;2;2;2;22;19;18;59;11.5;8.25
4;4;3;2;2;4;3;2;3;1;3;1;1;1;1;1;1;4;1;2;19;11;14;44;10;7.2
3;4;1;4;1;3;4;4;4;2;1;4;2;2;2;2;4;2;4;2;19;17;19;55;10;7.2
4;3;2;3;1;3;3;1;3;2;3;4;3;4;4;4;2;1;1;2;22;15;16;53;11.5;8.25
4;4;1;4;3;2;1;4;3;2;2;3;1;5;4;5;5;3;4;1;17;18;26;61;9;6.5
5;2;3;3;1;1;1;1;2;2;2;1;1;1;3;3;3;2;2;2;14;11;16;41;7.5;5.45
4;4;1;3;2;2;2;5;3;2;4;2;4;2;5;3;2;4;3;2;18;15;26;59;9.5;6.85
3;2;1;3;2;3;2;1;1;5;1;1;4;1;1;1;4;5;4;4;15;11;23;49;8;5.8
1;2;2;3;2;1;2;3;2;2;2;3;1;2;3;3;2;2;3;3;11;12;21;44;6;4.4
2;2;1;2;1;2;3;1;1;1;4;4;1;1;1;1;2;5;1;1;11;14;12;37;6;4.4
4;5;1;3;2;1;2;3;3;2;4;3;2;1;3;2;4;2;2;3;14;19;19;52;7.5;5.45
1;3;3;3;1;1;3;3;1;3;1;1;1;1;3;5;1;2;2;3;11;9;22;42;6;4.4
4;3;1;3;2;4;1;2;3;2;3;3;3;3;3;3;2;1;2;2;19;14;17;50;10;7.2
2;2;2;2;2;3;2;2;2;2;4;2;2;1;3;1;2;3;3;2;14;12;18;44;7.5;5.45
5;5;1;5;1;1;2;5;5;1;4;5;5;1;5;4;2;2;1;1;20;21;20;61;10.5;7.55
3;3;3;3;2;4;4;2;3;2;2;3;2;2;2;3;2;2;2;2;21;13;17;51;11;7.9
3;4;1;4;3;1;1;3;1;2;3;1;1;3;1;1;1;3;5;3;11;13;21;45;6;4.4
2;2;1;4;1;1;2;1;3;2;3;3;1;2;2;3;4;2;2;1;12;16;14;42;6.5;4.75
2;1;2;2;2;4;2;1;2;1;2;2;1;1;1;1;4;3;1;1;14;11;11;36;7.5;5.45
1;1;1;1;1;1;1;1;1;1;4;2;1;1;5;5;2;1;1;5;7;10;20;37;4;3
2;2;1;2;2;2;2;4;2;2;4;2;2;2;2;5;4;1;4;4;13;14;24;51;7;5.1
2;2;1;2;3;2;3;2;2;2;3;2;2;2;2;2;4;1;2;2;14;13;16;43;7.5;5.45
3;2;1;2;3;3;2;2;3;2;2;2;2;1;2;2;2;2;2;3;15;10;18;43;8;5.8
1;1;1;1;1;1;1;3;1;1;3;3;1;1;5;3;3;1;1;2;7;11;17;35;4;3
3;4;1;4;2;2;1;1;1;1;2;3;1;2;1;1;1;1;2;2;11;14;11;36;6;4.4
3;4;1;4;2;3;5;2;3;1;2;1;2;2;3;3;3;1;1;5;19;14;18;51;10;7.2
5;4;1;4;5;2;1;1;4;1;3;1;1;3;1;1;4;1;1;1;17;16;12;45;9;6.5
3;3;3;2;3;2;3;3;3;3;3;3;2;3;3;2;3;3;4;3;19;14;24;57;10;7.2
3;4;1;3;2;3;1;1;3;3;2;1;3;1;2;2;2;2;2;3;15;12;17;44;8;5.8
4;4;1;2;1;2;3;2;3;1;2;5;2;3;2;1;4;3;1;1;18;17;12;47;9.5;6.85
4;4;2;2;2;4;2;2;4;2;4;4;4;2;4;2;4;2;2;2;22;18;18;58;11.5;8.25
1;2;1;2;2;3;1;1;1;1;2;1;1;1;4;4;1;2;3;3;9;8;20;37;5;3.7
3;4;4;3;2;3;3;2;4;3;4;2;1;4;3;3;2;2;3;2;22;15;20;57;11.5;8.25
4;5;1;4;2;1;2;2;2;2;4;2;2;4;3;3;2;2;2;2;16;17;18;51;8.5;6.15
4;4;2;4;1;4;4;1;4;2;5;5;5;1;4;1;4;2;2;1;24;22;14;60;12.5;8.95
2;2;1;2;2;2;2;1;2;1;2;1;1;1;1;3;1;1;1;1;11;8;11;30;6;4.4
4;4;3;4;2;4;3;4;4;3;4;3;3;4;4;4;4;2;2;2;25;19;23;67;13;9.3
2;2;1;2;2;2;1;1;2;1;2;1;1;1;2;3;1;1;1;1;10;8;12;30;5.5;4.05
