"","ID","RYHMA","HARJOITUS","VETO","UUPUMUS","EPAMIELLYTTAVYYS","KIIHTYNEISYYS"
"612",23,"MICT","H6","V4",13,3,1
"613",24,"MICT","H6","V1",13,4,1
"614",24,"MICT","H6","V2",13,4,1
"615",24,"MICT","H6","V3",14,5,1
"616",24,"MICT","H6","V4",14,6,1
"617",25,"MICT","H6","V1",13,6,5
"618",25,"MICT","H6","V2",15,6,6
"619",25,"MICT","H6","V3",16,7,7
"620",25,"MICT","H6","V4",16,7,8
"621",26,"MICT","H6","V1",13,2,2
"622",26,"MICT","H6","V2",13,2,2
"623",26,"MICT","H6","V3",13,2,2
"624",26,"MICT","H6","V4",13,3,2
