"","ID","RYHMA","HARJOITUS","VETO","UUPUMUS","EPAMIELLYTTAVYYS","KIIHTYNEISYYS"
"120",4,"HIIT","H3","V4",19,9,9
"121",5,"HIIT","H3","V1",13,3,3
"122",5,"HIIT","H3","V2",15,5,4
"123",5,"HIIT","H3","V3",16,6,5
"124",5,"HIIT","H3","V4",17,7,6
"125",6,"HIIT","H3","V1",8,3,2
"126",6,"HIIT","H3","V2",11,4,2
"127",6,"HIIT","H3","V3",13,3,3
"128",6,"HIIT","H3","V4",11,4,2
"129",7,"HIIT","H3","V1",15,5,5
"130",7,"HIIT","H3","V2",15,6,6
"131",7,"HIIT","H3","V3",16,6,6
"132",7,"HIIT","H3","V4",17,7,7
"133",8,"HIIT","H3","V1",13,3,3
"134",8,"HIIT","H3","V2",18,5,6
"135",8,"HIIT","H3","V3",17,6,6
"136",8,"HIIT","H3","V4",18,7,7
"137",9,"HIIT","H3","V1",12,4,5
"138",9,"HIIT","H3","V2",15,6,6
"139",9,"HIIT","H3","V3",17,6,7
"140",9,"HIIT","H3","V4",16,6,6
"141",10,"HIIT","H3","V1",13,4,2
"142",10,"HIIT","H3","V2",15,4,3
"143",10,"HIIT","H3","V3",17,5,3
"144",10,"HIIT","H3","V4",17,5,4
"145",11,"HIIT","H3","V1",14,5,5
"146",11,"HIIT","H3","V2",18,8,7
"147",11,"HIIT","H3","V3",20,9,8
"148",11,"HIIT","H3","V4",19,9,9
"149",12,"HIIT","H3","V1",11,2,1
"150",12,"HIIT","H3","V2",14,3,2
"151",12,"HIIT","H3","V3",18,4,2
"152",12,"HIIT","H3","V4",19,4,3
"153",13,"HIIT","H3","V1",14,4,3
"154",13,"HIIT","H3","V2",16,6,4
"155",13,"HIIT","H3","V3",17,7,5
"156",13,"HIIT","H3","V4",19,8,7
"157",1,"HIIT","H4","V1",15,4,3
"158",1,"HIIT","H4","V2",16,6,4
"159",1,"HIIT","H4","V3",17,6,5
"160",1,"HIIT","H4","V4",18,7,5
"161",2,"HIIT","H4","V1",8,1,1
"162",2,"HIIT","H4","V2",11,2,2
"163",2,"HIIT","H4","V3",13,3,2
"164",2,"HIIT","H4","V4",15,3,3
"165",3,"HIIT","H4","V1",15,4,3
"166",3,"HIIT","H4","V2",16,5,5
"167",3,"HIIT","H4","V3",16,5,5
"168",3,"HIIT","H4","V4",16,4,6
"169",4,"HIIT","H4","V1",15,7,7
"170",4,"HIIT","H4","V2",17,8,8
"171",4,"HIIT","H4","V3",19,9,9
"172",4,"HIIT","H4","V4",20,9,9
"173",5,"HIIT","H4","V1",14,4,3
"174",5,"HIIT","H4","V2",15,5,4
"175",5,"HIIT","H4","V3",16,6,5
"176",5,"HIIT","H4","V4",17,7,6
"177",6,"HIIT","H4","V1",9,3,2
"178",6,"HIIT","H4","V2",11,3,2
"179",6,"HIIT","H4","V3",15,4,2
"180",6,"HIIT","H4","V4",15,3,2
"181",7,"HIIT","H4","V1",16,6,6
"182",7,"HIIT","H4","V2",17,7,7
"183",7,"HIIT","H4","V3",18,8,8
"184",7,"HIIT","H4","V4",18,8,8
"185",8,"HIIT","H4","V1",13,4,6
"186",8,"HIIT","H4","V2",13,6,7
"187",8,"HIIT","H4","V3",18,7,8
"188",8,"HIIT","H4","V4",17,7,8
"189",9,"HIIT","H4","V1",13,3,5
"190",9,"HIIT","H4","V2",15,6,5
"191",9,"HIIT","H4","V3",16,6,5
"192",9,"HIIT","H4","V4",16,6,6
"193",10,"HIIT","H4","V1",13,3,3
"194",10,"HIIT","H4","V2",15,4,3
"195",10,"HIIT","H4","V3",18,4,4
"196",10,"HIIT","H4","V4",18,4,4
"197",11,"HIIT","H4","V1",15,5,4
"198",11,"HIIT","H4","V2",18,8,7
"199",11,"HIIT","H4","V3",19,9,8
"200",11,"HIIT","H4","V4",20,9,9
"201",12,"HIIT","H4","V1",11,1,1
"202",12,"HIIT","H4","V2",15,2,1
"203",12,"HIIT","H4","V3",19,3,2
"204",12,"HIIT","H4","V4",20,4,3
"205",13,"HIIT","H4","V1",13,3,3
"206",13,"HIIT","H4","V2",15,5,4
"207",13,"HIIT","H4","V3",17,7,5
"208",13,"HIIT","H4","V4",19,8,7
"209",1,"HIIT","H5","V1",14,2,3
"210",1,"HIIT","H5","V2",15,4,4
"211",1,"HIIT","H5","V3",16,5,5
"212",1,"HIIT","H5","V4",17,5,5
"213",2,"HIIT","H5","V1",8,1,1
"214",2,"HIIT","H5","V2",9,1,1
"215",2,"HIIT","H5","V3",12,2,2
"216",2,"HIIT","H5","V4",14,3,3
"217",3,"HIIT","H5","V1",13,3,3
"218",3,"HIIT","H5","V2",15,5,4
"219",3,"HIIT","H5","V3",16,6,5
"220",3,"HIIT","H5","V4",17,6,6
"221",4,"HIIT","H5","V1",15,6,6
"222",4,"HIIT","H5","V2",17,8,8
"223",4,"HIIT","H5","V3",18,8,8
"224",4,"HIIT","H5","V4",19,9,9
"225",5,"HIIT","H5","V1",14,3,2
"226",5,"HIIT","H5","V2",15,4,4
"227",5,"HIIT","H5","V3",17,6,5
"228",5,"HIIT","H5","V4",17,7,5
"229",6,"HIIT","H5","V1",11,2,2
"230",6,"HIIT","H5","V2",11,2,2
"231",6,"HIIT","H5","V3",12,2,2
"232",6,"HIIT","H5","V4",15,3,2
"233",7,"HIIT","H5","V1",16,6,6
"234",7,"HIIT","H5","V2",16,6,6
"235",7,"HIIT","H5","V3",17,7,7
"236",7,"HIIT","H5","V4",17,7,7
"237",8,"HIIT","H5","V1",15,4,4
"238",8,"HIIT","H5","V2",17,5,6
"239",8,"HIIT","H5","V3",18,6,7
"240",8,"HIIT","H5","V4",19,6,7
"241",9,"HIIT","H5","V1",13,5,5
"242",9,"HIIT","H5","V2",15,5,5
"243",9,"HIIT","H5","V3",16,6,5
"244",9,"HIIT","H5","V4",17,5,5
"245",10,"HIIT","H5","V1",13,3,2
"246",10,"HIIT","H5","V2",16,3,2
"247",10,"HIIT","H5","V3",18,4,3
"248",10,"HIIT","H5","V4",18,4,3
"249",11,"HIIT","H5","V1",15,4,4
"250",11,"HIIT","H5","V2",19,7,7
"251",11,"HIIT","H5","V3",19,8,8
"252",11,"HIIT","H5","V4",19,9,9
"253",12,"HIIT","H5","V1",10,1,1
"254",12,"HIIT","H5","V2",11,1,1
"255",12,"HIIT","H5","V3",14,1,1
"256",12,"HIIT","H5","V4",14,1,1
"257",13,"HIIT","H5","V1",13,4,3
"258",13,"HIIT","H5","V2",15,5,4
"259",13,"HIIT","H5","V3",17,6,5
"260",13,"HIIT","H5","V4",18,6,6
"261",1,"HIIT","H6","V1",14,3,3
"262",1,"HIIT","H6","V2",15,4,4
"263",1,"HIIT","H6","V3",17,5,5
"264",1,"HIIT","H6","V4",16,6,6
"265",2,"HIIT","H6","V1",8,1,1
"266",2,"HIIT","H6","V2",10,1,2
"267",2,"HIIT","H6","V3",12,3,3
"268",2,"HIIT","H6","V4",14,4,4
"269",3,"HIIT","H6","V1",14,3,3
"270",3,"HIIT","H6","V2",15,4,4
"271",3,"HIIT","H6","V3",16,5,5
"272",3,"HIIT","H6","V4",17,6,6
"273",4,"HIIT","H6","V1",15,6,6
"274",4,"HIIT","H6","V2",16,7,7
"275",4,"HIIT","H6","V3",17,8,8
"276",4,"HIIT","H6","V4",18,8,8
"277",5,"HIIT","H6","V1",14,4,4
"278",5,"HIIT","H6","V2",15,5,4
"279",5,"HIIT","H6","V3",17,6,5
"280",5,"HIIT","H6","V4",17,7,5
"281",6,"HIIT","H6","V1",9,2,2
"282",6,"HIIT","H6","V2",12,2,2
"283",6,"HIIT","H6","V3",15,2,2
"284",6,"HIIT","H6","V4",15,3,2
"285",7,"HIIT","H6","V1",14,4,4
"286",7,"HIIT","H6","V2",15,5,5
"287",7,"HIIT","H6","V3",16,6,6
"288",7,"HIIT","H6","V4",16,6,6
"289",8,"HIIT","H6","V1",12,3,3
"290",8,"HIIT","H6","V2",13,3,4
"291",8,"HIIT","H6","V3",16,4,5
"292",8,"HIIT","H6","V4",16,5,6
"293",9,"HIIT","H6","V1",13,4,4
"294",9,"HIIT","H6","V2",15,6,5
"295",9,"HIIT","H6","V3",16,6,6
"296",9,"HIIT","H6","V4",16,6,6
"297",10,"HIIT","H6","V1",13,2,2
"298",10,"HIIT","H6","V2",14,3,2
"299",10,"HIIT","H6","V3",15,4,3
"300",10,"HIIT","H6","V4",17,4,4
"301",11,"HIIT","H6","V1",15,3,3
"302",11,"HIIT","H6","V2",18,7,6
"303",11,"HIIT","H6","V3",20,9,9
"304",11,"HIIT","H6","V4",20,9,9
"305",12,"HIIT","H6","V1",10,1,1
"306",12,"HIIT","H6","V2",11,1,1
"307",12,"HIIT","H6","V3",15,1,1
"308",12,"HIIT","H6","V4",17,2,1
"309",13,"HIIT","H6","V1",14,3,3
"310",13,"HIIT","H6","V2",15,5,4
"311",13,"HIIT","H6","V3",17,6,5
"312",13,"HIIT","H6","V4",18,7,7
"313",14,"MICT","H1","V1",13,3,2
"314",14,"MICT","H1","V2",14,3,2
"315",14,"MICT","H1","V3",14,3,2
"316",14,"MICT","H1","V4",15,3,2
"317",15,"MICT","H1","V1",14,5,2
"318",15,"MICT","H1","V2",15,6,2
"319",15,"MICT","H1","V3",17,8,3
"320",15,"MICT","H1","V4",16,7,3
"321",16,"MICT","H1","V1",15,5,5
"322",16,"MICT","H1","V2",15,5,6
"323",16,"MICT","H1","V3",15,6,6
"324",16,"MICT","H1","V4",16,7,7
"325",17,"MICT","H1","V1",13,1,1
"326",17,"MICT","H1","V2",13,1,1
"327",17,"MICT","H1","V3",15,2,1
"328",17,"MICT","H1","V4",13,1,1
"329",18,"MICT","H1","V1",15,5,2
"330",18,"MICT","H1","V2",17,6,3
"331",18,"MICT","H1","V3",17,7,4
"332",18,"MICT","H1","V4",17,7,4
"333",19,"MICT","H1","V1",15,5,3
"334",19,"MICT","H1","V2",16,5,5
"335",19,"MICT","H1","V3",18,6,5
"336",19,"MICT","H1","V4",19,7,5
"337",20,"MICT","H1","V1",13,2,4
"338",20,"MICT","H1","V2",14,3,5
"339",20,"MICT","H1","V3",15,4,5
"340",20,"MICT","H1","V4",15,5,6
"341",21,"MICT","H1","V1",15,6,3
"342",21,"MICT","H1","V2",16,7,4
"343",21,"MICT","H1","V3",16,7,4
"344",21,"MICT","H1","V4",17,7,4
"345",22,"MICT","H1","V1",13,3,2
"346",22,"MICT","H1","V2",13,3,3
"347",22,"MICT","H1","V3",15,5,3
"348",22,"MICT","H1","V4",15,5,3
"349",23,"MICT","H1","V1",13,3,2
"350",23,"MICT","H1","V2",13,3,2
"351",23,"MICT","H1","V3",14,4,2
"352",23,"MICT","H1","V4",15,4,2
"353",24,"MICT","H1","V1",14,6,3
